time	temp
13.872	21
13.893	21
13.913	21
13.935	21
13.956	21
13.982	21
14.003	21
14.024	21
14.044	21
14.065	21
14.086	21
14.107	21
14.128	21
14.149	21
14.177	21
14.198	21
14.219	21
14.241	21
14.261	21
14.281	21
14.302	21
14.322	21
14.343	21
14.369	21
14.39	21
14.412	21
14.433	21
14.454	21
14.475	21
14.496	21
14.516	21
14.537	21
14.565	21
14.585	21
14.606	21
14.628	21
14.648	21
14.668	21
14.689	21
14.71	21
14.731	21
14.758	21
14.779	21
14.799	21
14.82	21
14.841	21
14.862	21
14.882	21
14.902	21
14.923	21
14.943	21
14.97	21
14.99	21
15.011	21
15.031	21
15.053	21
15.073	21
15.094	21
15.115	21
15.135	21
15.163	21
15.184	21
15.205	21
15.227	21
15.247	21
15.268	21
15.289	21
15.31	21
15.331	21
15.358	21
15.378	21
15.399	21
15.419	21
15.439	21
15.46	21
15.482	21
15.503	21
15.523	21
15.549	21
15.57	21
15.592	21
15.612	21
15.633	21
15.654	21
15.675	21
15.695	21
15.716	21
15.743	21
15.764	21
15.784	21
15.807	21
15.827	21
15.848	21
15.868	21
15.889	21
15.91	21
15.936	21
15.957	21
15.977	21
15.998	21
16.018	21
16.041	21
16.062	21
16.082	21
16.103	21
16.124	21
16.151	21
16.173	21
16.194	21
16.215	21
16.235	21
16.257	21
16.278	21
16.299	21
16.321	21
16.347	21
16.367	21
16.388	21
16.409	21
16.43	21
16.451	21
16.472	21
16.492	21
16.513	21
16.54	21
16.561	21
16.582	21
16.603	21
16.624	21
16.644	21
16.665	21
16.686	21
16.707	21
16.738	21
16.759	21
16.779	21
16.8	21
16.82	21
16.841	21
16.862	21
16.883	21
16.903	21
16.93	21
16.951	21
16.973	21
16.993	21
17.015	21
17.035	21
17.056	21
17.077	21
17.099	21
17.119	21
17.146	21
17.166	21
17.188	21
17.209	21
17.23	21
17.251	21
17.271	21
17.293	21
17.315	21
17.341	21
17.364	21
17.385	21
17.406	21
17.428	21
17.449	21
17.469	21
17.491	21
17.512	21
17.54	21
17.561	21
17.581	21
17.602	21
17.622	21
17.642	21
17.663	21
17.684	21
17.705	21
17.732	21
17.752	21
17.773	21
17.793	21
17.814	21
17.834	21
17.854	21
17.875	21
17.896	21
17.924	21
17.946	21
17.966	21
17.99	21
18.011	21
18.033	21
18.054	21
18.074	21
18.096	21
18.123	21
18.143	21
18.164	21
18.185	21
18.206	21
18.227	21
18.249	21
18.271	21
18.293	21
18.313	21
18.34	21
18.362	21
18.382	21
18.404	21
18.425	21
18.447	21
18.467	21
18.488	21
18.509	21
18.537	21
18.557	21
18.578	21
18.599	21
18.62	21
18.641	21
18.662	21
18.683	21
18.704	21
18.731	21
18.753	21
18.774	21
18.794	21
18.815	21
18.836	21
18.857	21
18.878	21
18.899	21
18.925	21
18.946	21
18.967	21
18.989	21
19.01	21
19.032	21
19.053	21
19.074	21
19.095	21
19.124	21
19.145	21
19.167	21
19.19	21
19.212	21
19.232	21
19.253	21
19.274	21
19.295	21
19.316	21
19.345	21
19.366	21
19.386	21
19.406	21
19.427	21
19.448	21
19.468	21
19.489	21
19.509	21
19.536	21
19.558	21
19.58	21
19.601	21
19.622	21
19.643	21
19.664	21
19.685	21
19.706	21
19.732	21
19.753	21
19.774	21
19.794	21
19.815	21
19.836	21
19.857	21
19.878	21
19.899	21
19.926	21
19.947	21
19.967	21
19.988	21
20.009	21
20.03	21
20.05	21
20.072	21
20.093	21
20.12	21
20.141	21
20.161	21
20.182	21
20.203	21
20.224	21
20.245	21
20.265	21
20.286	21
20.313	21
20.334	21
20.354	21
20.375	21
20.395	21
20.416	21
20.436	21
20.457	21
20.478	21
20.499	21
20.527	21
20.548	21
20.569	21
20.59	21
20.61	21
20.63	21
20.651	21
20.672	21
20.693	21
20.72	21
20.741	21
20.761	21
20.781	21
20.802	21
20.824	21
20.845	21
20.866	21
20.887	21
20.914	21
20.935	21
20.956	21
20.977	21
20.999	21
21.02	21
21.042	21
21.062	21
21.083	21
21.109	21
21.13	21
21.15	21
21.173	21
21.194	21
21.214	21
21.235	21
21.257	21
21.277	21
21.303	21
21.324	21
21.345	21
21.367	21
21.387	21
21.408	21
21.429	21
21.45	21
21.471	21
21.492	21
21.519	21
21.541	21
21.561	21
21.582	21
21.603	21
21.624	21
21.646	21
21.666	21
21.687	21
21.713	21
21.734	21
21.755	21
21.776	21
21.796	21
21.817	21
21.838	21
21.859	21
21.88	21
21.905	21
21.926	21
21.947	21
21.967	21
21.989	21
22.009	21
22.03	21
22.051	21
22.072	21
22.099	21
22.12	21
22.14	21
22.161	21
22.182	21
22.202	21
22.223	21
22.244	21
22.264	21
22.291	21
22.312	21
22.333	21
22.353	21
22.375	21
22.395	21
22.416	21
22.437	21
22.458	21
22.484	21
22.506	21
22.528	21
22.549	21
22.574	21
22.594	21
22.615	21
22.636	21
22.657	21
22.677	21
22.704	21
22.725	21
22.746	21
22.767	21
22.79	21
22.812	21
22.833	21
22.853	21
22.874	21
22.901	21
22.923	21
22.943	21
22.964	21
22.984	21
23.005	21
23.025	21
23.046	21
23.066	21
23.094	21
23.115	21
23.136	21
23.157	21
23.178	21
23.198	21
23.218	21
23.239	21
23.26	21
23.287	21
23.307	21
23.328	21
23.348	21
23.369	21
23.39	21
23.411	21
23.432	21
23.452	21
23.479	21
23.5	21
23.521	21
23.542	21
23.562	21
23.583	21
23.604	21
23.625	21
23.645	21
23.666	21
23.692	21
23.713	21
23.734	21
23.756	21
23.777	21
23.798	21
23.818	21
23.84	21
23.861	21
23.889	21
23.91	21
23.93	21
23.95	21
23.974	21
23.996	21
24.017	21
24.037	21
24.059	21
24.086	21
24.107	21
24.129	21
24.151	21
24.172	21
24.193	21
24.213	21
24.233	21
24.254	21
24.281	21
24.302	21
24.324	21
24.346	21
24.366	21
24.386	21
24.408	21
24.429	21
24.45	21
24.478	21
24.498	21
24.519	21
24.541	21
24.562	21
24.583	21
24.605	21
24.627	21
24.648	21
24.676	21
24.698	21
24.72	21
24.74	21
24.761	21
24.782	21
24.804	21
24.824	21
24.846	21
24.867	21
24.894	21
24.915	21
24.935	21
24.956	21
24.977	21
24.998	21
25.019	21
25.04	21
25.06	21
25.087	21
25.108	21
25.129	21
25.15	21
25.171	21
25.192	21
25.213	21
25.233	21
25.255	21
25.281	21
25.301	21
25.324	21
25.344	21
25.366	21
25.387	21
25.409	21
25.429	21
25.451	21
25.478	21
25.5	21
25.521	21
25.541	21
25.562	21
25.582	21
25.603	21
25.624	21
25.644	21
25.672	21
25.693	21
25.713	21
25.733	21
25.754	21
25.775	21
25.796	21
25.816	21
25.838	21
25.86	21
25.885	21
25.906	21
25.927	21
25.947	21
25.968	21
25.989	21
26.011	21
26.032	21
26.053	21
26.08	21
26.101	21
26.121	21
26.142	21
26.164	21
26.185	21
26.206	21
26.227	21
26.247	21
26.279	21
26.3	21
26.322	21
26.343	21
26.364	21
26.385	21
26.405	21
26.427	21
26.447	21
26.476	21
26.497	21
26.518	21
26.541	21
26.562	21
26.583	21
26.604	21
26.626	21
26.646	21
26.673	21
26.695	21
26.715	21
26.736	21
26.757	21
26.778	21
26.798	21
26.82	21
26.841	21
26.867	21
26.896	21
26.916	21
26.936	21
26.957	21
26.977	21
26.998	21
27.019	21
27.04	21
27.062	21
27.087	21
27.108	21
27.129	21
27.149	21
27.17	21
27.192	21
27.212	21
27.232	21
27.254	21
27.282	21
27.303	21
27.324	21
27.345	21
27.365	21
27.386	21
27.406	21
27.426	21
27.448	21
27.474	21
27.495	21
27.515	21
27.536	21
27.556	21
27.576	21
27.597	21
27.618	21
27.639	21
27.667	21
27.688	21
27.71	21
27.73	21
27.751	21
27.773	21
27.795	21
27.816	21
27.837	21
27.865	21
27.886	21
27.907	21
27.927	21
27.948	21
27.969	21
27.99	21
28.011	21
28.032	21
28.053	21
28.08	21
28.1	21
28.121	21
28.142	21
28.162	21
28.183	21
28.204	21
28.224	21
28.244	21
28.271	21
28.292	21
28.313	21
28.334	21
28.356	21
28.376	21
28.397	21
28.419	21
28.441	21
28.467	21
28.488	21
28.508	21
28.53	21
28.552	21
28.572	21
28.594	21
28.614	21
28.635	21
28.662	21
28.684	21
28.704	21
28.726	21
28.746	21
28.766	21
28.787	21
28.808	21
28.829	21
28.856	21
28.878	21
28.898	21
28.919	21
28.94	21
28.961	21
28.981	21
29.002	21
29.023	21
29.05	21
29.071	21
29.092	21
29.113	21
29.133	21
29.155	21
29.177	21
29.197	21
29.218	21
29.24	21
29.267	21
29.287	21
29.308	21
29.33	21
29.352	21
29.373	21
29.394	21
29.414	21
29.435	21
29.465	21
29.486	21
29.508	21
29.529	21
29.549	21
29.571	21
29.592	21
29.613	21
29.635	21
29.663	21
29.685	21
29.706	21
29.727	21
29.748	21
29.768	21
29.79	21
29.811	21
29.832	21
29.858	21
29.878	21
29.899	21
29.92	21
29.941	21
29.961	21
29.985	21
30.006	21
30.028	21
30.054	21
30.075	21
30.096	21
30.116	21
30.137	21
30.159	21
30.179	21
30.2	21
30.221	21
30.243	21
30.27	21
30.291	21
30.312	21
30.332	21
30.353	21
30.374	21
30.395	21
30.415	21
30.436	21
30.463	21
30.485	21
30.506	21
30.527	21
30.548	21
30.568	21
30.589	21
30.609	21
30.63	21
30.657	21
30.678	21
30.699	21
30.72	21
30.74	21
30.761	21
30.782	21
30.803	21
30.824	21
30.851	21
30.872	21
30.892	21
30.914	21
30.935	21
30.955	21
30.976	21
30.996	21
31.017	21
31.045	21
31.066	21
31.087	21
31.108	21
31.129	21
31.15	21
31.172	21
31.194	21
31.214	21
31.242	21
31.263	21
31.285	21
31.307	21
31.327	21
31.348	21
31.368	21
31.389	21
31.41	21
31.431	21
31.458	21
31.479	21
31.5	21
31.522	21
31.543	21
31.565	21
31.585	21
31.607	21
31.628	21
31.654	21
31.675	21
31.697	21
31.717	21
31.738	21
31.759	21
31.78	21
31.801	21
31.821	21
31.849	21
31.869	21
31.891	21
31.912	21
31.933	21
31.954	21
31.975	21
31.996	21
32.018	21
32.046	21
32.066	21
32.087	21
32.108	21
32.128	21
32.149	21
32.169	21
32.189	21
32.21	21
32.235	21
32.258	21
32.278	21
32.298	21
32.319	21
32.339	21
32.362	21
32.382	21
32.403	21
32.425	21
